arrived_at,num_prefill_tokens,num_decode_tokens
300.04982805252075,2171,19
300.2519299983978,2135,9
300.26521396636963,4423,13
300.3457100391388,2389,19
300.4470009803772,7436,7
300.54804611206055,1297,16
300.6456689834595,462,9
300.6457431316376,3026,11
300.7678620815277,390,16
300.94695115089417,2173,27
301.06847500801086,1042,20
301.14574098587036,821,34
301.174222946167,2136,52
301.41617012023926,341,16
301.7490689754486,4425,94
301.94048714637756,3364,6
302.1504189968109,2137,54
302.44769406318665,2644,18
302.54873609542847,1695,48
302.7088279724121,211,6
302.88055205345154,1500,60
302.97789311408997,1779,16
303.3867621421814,396,18
303.64753103256226,888,9
303.7455530166626,2103,7
303.74696111679077,7436,17
303.74707412719727,220,14
303.91772508621216,3028,17
304.0258700847626,2103,7
304.2726409435272,3967,10
304.351763010025,4642,10
304.4429450035095,399,7
304.68407106399536,1164,97
304.7178750038147,1984,253
304.74768114089966,3601,9
305.0505211353302,1948,22
305.4074430465698,1463,51
305.84567403793335,1195,54
306.0791771411896,5538,21
306.34635400772095,3601,9
306.44958996772766,4634,10
306.64574098587036,2108,7
306.647185087204,2149,46
306.6659290790558,1154,67
306.8535740375519,7436,8
306.86667704582214,2157,6
307.1491870880127,401,12
307.24556708335876,3372,12
307.3503460884094,471,17
307.5541000366211,942,69
307.55437207221985,253,16
307.7488670349121,2393,28
307.7562720775604,1198,7
307.84573197364807,253,6
308.2012939453125,5469,21
308.3934519290924,401,13
308.55224800109863,1200,6
308.55235505104065,392,6
308.9522020816803,1295,17
308.9644811153412,2169,11
309.046914100647,2823,15
309.64692091941833,820,16
309.7495949268341,2169,21
309.7505829334259,1698,46
309.7505900859833,868,7
309.84718012809753,4451,97
310.14919996261597,2941,6
310.27845096588135,477,12
310.28092908859253,2075,10
310.64736700057983,2171,26
310.6685700416565,4454,6
310.78532004356384,1957,10
311.2447531223297,4454,13
311.3324511051178,4360,11
311.5046811103821,1586,15
312.0050799846649,3383,79
312.016263961792,825,12
312.14664602279663,2174,28
312.57674908638,3616,42
312.6590220928192,825,19
336.22533106803894,10,10
336.59812593460083,2297,31
336.85468912124634,405,7
336.946249961853,4631,433
336.9896149635315,7436,56
337.0487880706787,6965,7
337.1471951007843,4610,6
337.41656613349915,706,10
337.4400610923767,406,7
337.5455780029297,2158,26
